competitor,type,homepage_experience,chat_experience,mobile_experience,language_support,search_capability,document_retrieval,stock_information,filing_explanation,citations,account_opening_assistance,human_handoff,call_booking,lead_capture,multilingual_finance_support,total_score,research_notes
Zerodha,Brokerage,4,0,Not verified,1,Not verified,0,5,0,0,4,3,0,Not verified,1,18,"Verified via direct fetch of support.zerodha.com: clean categorized FAQ navigation (Account Opening, Kite, Funds, Console, Coin), account-opening tracker tool. Confirmed (multiple sources): NO live chat/chatbot exists, ticket-based support only, phone support limited to Mon-Fri 8:30am-5pm. Support content is English-only, no language toggle found. Mobile app (Kite) and in-portal search box not tested hands-on - Not verified. No filing/document explanation or citation features found."
Angel One,Brokerage,Not verified,4,Not verified,2,Not verified,0,5,0,0,Not verified,Not verified,Not verified,Not verified,2,13,"AI chatbot confirmed built into app; ARQ is their ML-based stock/MF advisory engine (well documented). Angel One's Knowledge Center has Hindi-translated articles (confirmed via Hindi-language URLs), so partial Hindi support exists; Tamil/other languages not confirmed. Account opening assistance, human handoff, and call booking not verified this pass - would need hands-on app walkthrough."
Groww,Brokerage,Not verified,4,Not verified,Not verified,3,0,5,0,0,Not verified,5,0,Not verified,Not verified,17,"Website + in-app chat icon confirmed, 24/7 phone and chat support (verified via groww.in/help and official helpline page). Help Center explicitly covers Stocks/MF/US Stocks/Gold/FD as searchable categories. Notable: Groww has a public 'Groww MCP' letting AI assistants (incl. Claude) query a user's own portfolio - unique among the 5 brokers, worth a follow-up look as a model for your RAG assistant. Hindi/Tamil language support not confirmed."
Upstox,Brokerage,Not verified,5,Not verified,Not verified,3,0,5,0,0,5,4,0,Not verified,Not verified,22,"Strongest finding among brokerages: 24/7 AI chatbot plus an Azure OpenAI-powered 'Trading Copilot' (per Microsoft case study), and a separate Haptik-built WhatsApp bot that explicitly handles account activation, IPO applications, and step-by-step trade guidance (per Haptik case study). Phone support also available 8am-5pm. Language support for the WhatsApp/Copilot bots not explicitly confirmed for Upstox specifically."
ICICI Direct,Brokerage,Not verified,5,Not verified,Not verified,Not verified,0,5,0,0,Not verified,4,0,Not verified,Not verified,14,"WhatsApp chatbot confirmed 24/7 (send 'Hi' to 9833330151) - explicitly delivers portfolio updates, research/stock recommendations, and order status directly in chat, which is stronger than just FAQ deflection. Phone/email support 8am-7pm weekdays. There is also a separate 'Moderated Chat' at chat.icicidirect.com whose exact purpose I could not determine - flagging for a follow-up look. Account-opening assistance via chatbot and language support not confirmed."
Botpress,AI Platform,Not verified,5,N/A,5,Not verified,4,0,0,Not verified,0,4,Not verified,Not verified,0,18,"This is a bot-building platform, not a finance product, so stock_information/filing_explanation/account_opening_assistance/multilingual_finance_support are scored 0 as 'not available out of the box' (could be custom-built on top). Native multilingual support and RAG/knowledge-base grounding are well documented across multiple independent reviews. 'mobile_experience' marked N/A - there's no end-user consumer app, only a builder console."
ManyChat,AI Platform,Not verified,2,N/A,1,Not verified,0,0,0,0,0,4,4,5,0,16,"Verified directly from a 2026 review: 'Multi-language requires manual work... no automatic translation or language detection built in' - scored Very weak (1), not guessed. Its AI add-on is described by reviewers as 'closer to keyword matching... not genuine conversational AI', so chat_experience scored Basic (2). Lead capture is its clear strength (core product, OTP-verified contacts). Finance-specific columns scored 0 - generic marketing automation tool, not finance content."
Intercom / Fin,AI Platform,Not verified,5,N/A,5,Not verified,4,0,0,Not verified,0,5,Not verified,Not verified,0,19,Fin AI Agent confirmed to resolve ~76% of conversations grounded in the company's own help center/docs (vendor reports a higher accuracy figure I'd treat with some skepticism). 45-language native support and a 'Smart Human Handoff with full context' are both independently confirmed. Pricing is outcome-based ($0.99/resolution). Finance-specific columns scored 0 since this is a generic support platform. Citations/lead capture not directly confirmed this pass.
Drift,AI Platform,Not verified,4,N/A,Not verified,Not verified,Not verified,0,0,0,0,5,5,5,0,19,"IMPORTANT: Multiple independent sources confirm Drift is being SUNSET - Salesloft/Clari announced this on March 6, 2026, naming '1mind' as the successor product for existing customers. The product page was still live as of May 2026 with no hard end-of-life date set. Scored on its current/historical feature set (mature lead qualification + instant meeting booking, both flagship strengths), but given the sunset announcement, I'd treat Drift as a lower-priority benchmark going forward rather than a long-term competitor to track."
Freshchat / Freddy AI,AI Platform,Not verified,4,N/A,5,Not verified,4,0,0,Not verified,0,4,Not verified,Not verified,0,17,"Freddy AI Agent confirmed to resolve up to 80% of queries and take real actions (order status, rebooking, etc. - vendor-claimed figure, treat with some skepticism). 60+ languages with live translation is strongly and repeatedly confirmed across Freshworks' own documentation - this is the standout multilingual feature of the whole set, AI-platform or brokerage. Finance-specific columns scored 0 - generic ITSM/CX platform, not finance content."
